"Dato";"Kategori";"Underkategori";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"10.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,78";"111.649,08";"Udført";"Nej"
"10.10.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            62063";"-22,00";"111.627,08";"Udført";"Nej"
"10.10.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            13873";"-22,00";"111.605,08";"Udført";"Nej"
"13.10.2025";"Tøj, sko og personlig pleje                                                   ";"Personlig pleje                                                               ";"CO., LTD. SPAREX  GOOD MO\ ...";"-59,19";"111.545,89";"Udført";"Nej"
"13.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,89";"111.545,00";"Udført";"Nej"
"13.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"CHANGHOADANG\ \Seoul\";"-254,24";"111.290,76";"Udført";"Nej"
"13.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-3,81";"111.286,95";"Udført";"Nej"
"13.10.2025";"Fornøjelser og fritid                                                         ";"Fritidsaktivitet                                                              ";"(JOO)SYUMAKEO\ \Osan\";"-22,70";"111.264,25";"Udført";"Nej"
"13.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,34";"111.263,91";"Udført";"Nej"
"13.10.2025";"Tøj, sko og personlig pleje                                                   ";"Personlig pleje                                                               ";"INISEUPEULI CHOONGMOOJEOM\ ...";"-178,65";"111.085,26";"Udført";"Nej"
"13.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-2,68";"111.082,58";"Udført";"Nej"
"13.10.2025";"Dagligvarer                                                                   ";"Bager                                                                         ";"R-BAKERY V/RENE OSTERG\ \HV...";"-67,00";"111.015,58";"Udført";"Nej"
"13.10.2025";"Fornøjelser og fritid                                                         ";"Fritidsaktivitet                                                              ";"(JOO)AMUSPOTSCOLIA\ \Seoul\";"-553,88";"110.461,70";"Udført";"Nej"
"13.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-8,31";"110.453,39";"Udført";"Nej"
"13.10.2025";"Bolig                                                                         ";"Vedligeholdelse                                                               ";"LEMONSANGJA\ \Seoul\";"-260,02";"110.193,37";"Udført";"Nej"
"13.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-3,90";"110.189,47";"Udført";"Nej"
"13.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"000108923";"-3.790,21";"106.399,26";"Udført";"Nej"
"14.10.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"Audible*NF4PR0A12\ \Amzn.co...";"-96,60";"106.302,66";"Udført";"Nej"
"14.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,45";"106.301,21";"Udført";"Nej"
"14.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"DBA Kaercher SC 5 EasyF  \ ...";"-1.016,99";"105.284,22";"Udført";"Nej"
"14.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"tipster.dk         9-2-8";"-600,00";"104.684,22";"Udført";"Nej"
"14.10.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            21133";"-19,00";"104.665,22";"Udført";"Nej"
"14.10.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            50820";"-22,00";"104.643,22";"Udført";"Nej"
"14.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Orion Shanti Dals...";"580,00";"105.223,22";"Udført";"Nej"
"14.10.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Til Dagligvarer";"-2.000,00";"103.223,22";"Udført";"Nej"
"15.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Orion Shanti Dals...";"460,00";"103.683,22";"Udført";"Nej"
"15.10.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Øresund orion";"-460,00";"103.223,22";"Udført";"Nej"
"15.10.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Til Dagligvarer";"-2.000,00";"101.223,22";"Udført";"Nej"
"16.10.2025";"Dagligvarer                                                                   ";"Slagter                                                                       ";"themeatclub.dk/    21375";"-1.749,20";"99.474,02";"Udført";"Nej"
"16.10.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Lån";"-1.500,00";"97.974,02";"Udført";"Nej"
"20.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Børne- og Ungeydelse";"4.742,00";"102.716,02";"Udført";"Nej"
"24.10.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            89709";"-22,00";"102.694,02";"Udført";"Nej"
"27.10.2025";"Dagligvarer                                                                   ";"Bager                                                                         ";"Lagkagehuset 271   58356";"-64,00";"102.630,02";"Udført";"Nej"
"28.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"CAFET. SAO NICOLAU\ \LISBOA\";"-687,86";"101.942,16";"Udført";"Nej"
"28.10.2025";"Dagligvarer                                                                   ";"Andet                                                                         ";"MEIA DUZIA\ \LAVRA\";"-120,79";"101.821,37";"Udført";"Nej"
"28.10.2025";"Tøj, sko og personlig pleje                                                   ";"Personlig pleje                                                               ";"NORMALAS LISBOA RUA DO OU\ ...";"-62,32";"101.759,05";"Udført";"Nej"
